state,x,y
Rajasthan,-86,40
Gujrat,-112,7
Maharashtra,-66,-33
Karnatak,-70,-88
Kerla,-64,-129
Tamil Nadu,-43,-123
Andhara pradesh,-37,-83
Telangana,-35,-52
Chhattisgarh,-6,-10
Udisa,17,-23
Madhya pradesh,-40,6
Uttr Pradesh,-13,43
Hariyana,-56,69
Panjab,-66,91
Uttrakhand,-29,84
Himachal pradesh,-49,100
J&K,-66,122
Ladhak,-40,128
Bihar,33,35
Jharkhand,25,7
W Bangal,53,7
Sikkim,61,55
Assam,92,41
AP,109,59
Nagaland,114,39
Manipur,110,24
Mijoram,102,10
Tripura,90,15
Goa,-87,-79
Delhi,-38,62
Andamar Nikobar,113,-82
